case_id,human_gt,agent_original,P_case_EnvFail,P_case_AgentRetryFail,P_case_AgentReasoningFail,P_case_AgentFail,corrected_label,action,agent_fail_type,is_correct_before,is_correct_after,is_flipped
web_0_3,1,1.0,6.147346588089331e-05,0.9983895829547955,0.001548943579323586,0.9999385265341191,1,keep_AgentJudge,AgentRetryFail,True,True,False
web_0_4,1,1.0,0.001166179649501471,0.9909182616574874,0.007915558693011079,0.9988338203504985,1,keep_AgentJudge,AgentRetryFail,True,True,False
web_100_1,1,1.0,0.0004230852765474258,0.9916554671558323,0.00792144756762037,0.9995769147234527,1,keep_AgentJudge,AgentRetryFail,True,True,False
web_100_3,1,1.0,0.008805462443639542,0.9833395186549518,0.007855018901408618,0.9911945375563604,1,keep_AgentJudge,AgentRetryFail,True,True,False
web_100_5,1,1.0,4.699954154447759e-13,0.9999803736944959,1.9626305034052272e-05,0.9999999999995299,1,keep_AgentJudge,AgentRetryFail,True,True,False
web_101_1,1,1.0,0.008805462443639542,0.9833395186549518,0.007855018901408618,0.9911945375563604,1,keep_AgentJudge,AgentRetryFail,True,True,False
web_101_4,1,1.0,2.6307441868611954e-12,0.9999886340387466,1.1365958622678124e-05,0.9999999999973693,1,keep_AgentJudge,AgentRetryFail,True,True,False
web_103_1,1,1.0,0.0032102312340552,0.9888904087738182,0.007899359992126683,0.9967897687659448,1,keep_AgentJudge,AgentRetryFail,True,True,False
web_103_2,1,1.0,0.0008610125263668477,0.9945382318776455,0.004600755595987651,0.9991389874736331,1,keep_AgentJudge,AgentRetryFail,True,True,False
web_104_1,1,1.0,8.346975322754292e-05,0.9972449178456906,0.002671612401081862,0.9999165302467724,1,keep_AgentJudge,AgentRetryFail,True,True,False
web_104_2,1,1.0,0.0032102312340552,0.9888904087738182,0.007899359992126683,0.9967897687659448,1,keep_AgentJudge,AgentRetryFail,True,True,False
web_104_5,1,1.0,1.6405533103658504e-05,0.9990859541509088,0.0008976403159875062,0.9999835944668963,1,keep_AgentJudge,AgentRetryFail,True,True,False
web_11_2,1,1.0,6.147346588089331e-05,0.9983895829547955,0.001548943579323586,0.9999385265341191,1,keep_AgentJudge,AgentRetryFail,True,True,False
web_11_3,1,1.0,0.0006347616351480191,0.9966950989249462,0.0026701394399057973,0.999365238364852,1,keep_AgentJudge,AgentRetryFail,True,True,False
web_11_4,1,1.0,2.0853538351314817e-07,0.9994797506437673,0.000520040820849185,0.9999997914646165,1,keep_AgentJudge,AgentRetryFail,True,True,False
web_11_5,1,1.0,1.2073041729731578e-05,0.9994678923074498,0.000520034650820279,0.9999879269582701,1,keep_AgentJudge,AgentRetryFail,True,True,False
web_12_2,1,1.0,0.000312311073296387,0.9950844067139866,0.004603282212717046,0.9996876889267036,1,keep_AgentJudge,AgentRetryFail,True,True,False
web_12_3,1,1.0,0.0032102312340552,0.9888904087738182,0.007899359992126683,0.9967897687659448,1,keep_AgentJudge,AgentRetryFail,True,True,False
web_12_5,1,1.0,0.005936784902591993,0.9714609515458396,0.022602263551568396,0.9940632150974079,1,keep_AgentJudge,AgentRetryFail,True,True,False
web_13_1,1,1.0,1.167497116977429e-06,0.9996976040263387,0.00030122847654435683,0.999998832502883,1,keep_AgentJudge,AgentRetryFail,True,True,False
web_13_2,1,1.0,6.147346588089331e-05,0.9983895829547955,0.001548943579323586,0.9999385265341191,1,keep_AgentJudge,AgentRetryFail,True,True,False
web_13_4,1,1.0,0.0032102312340552,0.9888904087738182,0.007899359992126683,0.9967897687659448,1,keep_AgentJudge,AgentRetryFail,True,True,False
web_15_1,1,1.0,2.228661926699168e-05,0.9984287090994634,0.0015490042812695984,0.9999777133807329,1,keep_AgentJudge,AgentRetryFail,True,True,False
web_15_2,1,1.0,0.00023021091739507007,0.9970985687497629,0.0026712203328420813,0.9997697890826049,1,keep_AgentJudge,AgentRetryFail,True,True,False
web_15_3,1,1.0,1.027294122802038e-07,0.9991022423203062,0.0008976549502814466,0.9999998972705877,1,keep_AgentJudge,AgentRetryFail,True,True,False
