case_id,human_gt,agent_original,P_case_EnvFail,P_case_AgentRetryFail,P_case_AgentReasoningFail,P_case_AgentFail,corrected_label,action,agent_fail_type,is_correct_before,is_correct_after,is_flipped
web_0_5,0,0.0,2.849013147230863e-07,0.6197174867971373,0.3802822283015479,0.9999997150986852,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_102_3,0,0.0,0.0010160074651751664,0.4850341958687738,0.5139497966660511,0.998983992534825,1,flip_to_AgentReasoningFail,AgentReasoningFail,True,False,True
web_102_4,0,0.0,0.0003779222117911755,0.4295627876470962,0.5700592901411127,0.9996220777882089,1,flip_to_AgentReasoningFail,AgentReasoningFail,True,False,True
web_103_3,0,0.0,0.001895696812381355,0.8137417389800387,0.18436256420758,0.9981043031876187,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_10_4,0,0.0,4.176163883406679e-08,0.6119534822723188,0.38804647596604236,0.9999999582383612,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_14_1,0,0.0,0.0005489115723346625,0.8835278914047773,0.11592319702288804,0.9994510884276653,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_14_3,0,0.0,4.9047035165778674e-12,0.9410051573162009,0.05899484267889431,0.9999999999950953,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_16_2,0,0.0,1.844321264132792e-07,0.8588689448265634,0.14113087074131028,0.9999998155678737,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_16_3,0,0.0,0.00011730711859650215,0.6710768628606575,0.32880583002074604,0.9998826928814035,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_17_5,0,0.0,9.486251232624062e-06,0.8840047504747629,0.1159857632740044,0.9999905137487672,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_19_1,0,0.0,0.001895696812381357,0.8137417389800387,0.18436256420758015,0.9981043031876188,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_19_4,0,0.0,6.353713292738973e-05,0.9130497253611614,0.08688673750591124,0.9999364628670726,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_19_5,0,0.0,2.224011036823249e-07,0.9950749671490183,0.0049248104498778545,0.9999997775988961,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
